epoch,loss,accuracy
0,0.9572659609523682,0.6193780925431177
1,0.907223597436649,0.6405299018290466
2,0.8941409740151447,0.6487029103498427
3,0.8856103081789997,0.6596582196436758
4,0.8762883180301908,0.6727002545172867
5,0.8642433388120526,0.6902319110928434
6,0.8488284667821832,0.7130278071992032
7,0.830464674328291,0.7393964304345764
8,0.8109390735851724,0.7632356893308251
9,0.7925360995308651,0.7827276032692034
10,0.7766899023282323,0.79791959783107
11,0.7636399538380695,0.8089855668147399
12,0.7529679868136067,0.8170637241728188
13,0.7441966192943323,0.8227231768816099
14,0.7369115006892643,0.827781905559859
15,0.7307590862164894,0.8321766760990879
16,0.7254750451966759,0.8361288078789699
17,0.720938237398604,0.8396541094266248
18,0.7170124510737893,0.842025388494554
19,0.7135716004878758,0.8440646884929731
20,0.7105375010207192,0.8461197970185118
21,0.7078279065219297,0.8480168202728552
22,0.7053966393113235,0.8496767156204057
23,0.7031928119197858,0.8509888233713265
24,0.7011903702685903,0.8522851225951278
25,0.699364186309454,0.8534391450748534
26,0.6976912028698167,0.8545141249189813
27,0.6961587426837059,0.8552413171664796
28,0.6947458335173848,0.8560791691038147
29,0.6934368708326548,0.8567589357699543
30,0.6922224387080257,0.8574545109632136
31,0.6910871748087032,0.8581342776293532
32,0.6900216672738664,0.8588614698768515
33,0.6890176273898403,0.8592724915819593
34,0.6880657308471151,0.8599522582480991
35,0.6871635066495045,0.8604423225888044
36,0.6863145385159558,0.8611062807278246
37,0.6855119518391415,0.8612801745261394
38,0.6847451255521628,0.8617544303397252
39,0.6840262359217306,0.8621496435177135
40,0.6833462638273017,0.8626555163855384
41,0.6826929940495697,0.863066538090646
42,0.6820426873178246,0.8633669001059171
43,0.6814176834459471,0.8636040280127101
44,0.680837486981039,0.8639360070822202
45,0.6802760170484705,0.8642679861517303
46,0.6797452956439352,0.864410262895806
47,0.6792388213907806,0.8644893055314037
48,0.6787510711368533,0.8647580504924356
49,0.678280233863546,0.86494775281787
50,0.6778224313963439,0.865248114833141
51,0.6773687951291745,0.8655010512670535
52,0.6769392239863977,0.8655800939026511
53,0.6765218145884032,0.8658646473908026
54,0.676114047758372,0.8661017752975956
55,0.6757158299208267,0.8664179458399861
56,0.6753395210952072,0.8665286055298228
57,0.6749792563936375,0.8668131590179743
58,0.6746299450439536,0.8670344783976477
59,0.6742864554115048,0.8670977125061258
60,0.6739501488965403,0.8673506489400382
61,0.6736301080271412,0.867492925684114
62,0.6733189419584422,0.8678090962265046
63,0.6730180509508668,0.8679671814976999
64,0.6727267739861622,0.8679671814976999
