episode,loss
0,4.907415634744268
1,4.862093990814198
2,4.834300978550847
3,4.795763989863764
4,4.766754000512455
5,4.747275103653009
6,4.733869057401065
7,4.724457115766412
8,4.715505717750202
9,4.707024733945181
10,4.702021382053652
11,4.696803390463557
12,4.69237396423653
13,4.688883224790797
14,4.685755272916449
15,4.6830912224498675
16,4.680573189728641
17,4.678142842002675
18,4.676083797256231
19,4.674482956607577
20,4.672981731268382
21,4.671473011209064
22,4.670061891590245
23,4.668634864317822
24,4.66742786595346
25,4.666386228152896
26,4.66519195138885
27,4.664306321172701
28,4.66351621836939
29,4.662824814492073
30,4.662075738403226
31,4.661294346954597
32,4.660631411211306
33,4.660046617837504
34,4.659437611174484
35,4.658864760731185
36,4.6582568798028605
37,4.657737363505411
38,4.657168972155064
39,4.656716282138548
40,4.656308782263909
41,4.655975789683579
42,4.655582692891335
43,4.655304120761043
44,4.654963035580123
45,4.654572543781848
46,4.654212705590667
47,4.653927851436662
48,4.653521459774627
49,4.653214027333344
50,4.652823353873649
51,4.6523964301993725
52,4.651967531009068
53,4.6515760429419055
54,4.6512014589055575
55,4.650705033556759
56,4.650100623234722
57,4.6492964199975795
58,4.648364864134471
59,4.647101861812981
60,4.64555300257952
61,4.643527028792293
62,4.641002178082284
63,4.638425711349044
64,4.6349301686121205
65,4.631004812349815
66,4.626344875460209
67,4.6214248446780095
68,4.61610048566102
69,4.611067095189718
70,4.60484530660864
71,4.598703842204996
72,4.592672443241644
73,4.585474066630403
74,4.578804048480009
75,4.571535943720298
76,4.565076890579262
77,4.55854837243674
78,4.552400061218463
79,4.545647697057379
80,4.539011321898803
81,4.532612914745018
82,4.526133098101031
83,4.519349410921013
84,4.512673654808329
85,4.506430888966963
86,4.499538149421122
87,4.493614535080513
88,4.486552346341358
89,4.480089519929773
90,4.473951630498576
91,4.467409598428239
92,4.461151355144461
93,4.454966532453485
94,4.448736281230507
95,4.442655035752058
96,4.436166810233297
97,4.430156491786047
98,4.423984164104915
99,4.417840997480049
100,4.40723014679989
101,4.396787622197259
102,4.3863553835760865
103,4.377030708889981
104,4.36859581564919
105,4.360051783747518
106,4.352055980511418
107,4.342990862865928
108,4.333954563842958
109,4.3250919825687335
110,4.316132658464475
111,4.307186053856707
112,4.298800695995956
113,4.2897494610869
114,4.280465150160153
115,4.27105319040582
116,4.261718661430333
117,4.252424492517431
118,4.243140318445102
119,4.23335908860704
120,4.223897857171026
121,4.214026217604365
122,4.203962434767067
123,4.193863258324988
124,4.184046137820911
125,4.174639693025037
126,4.164586780976468
127,4.154092083894317
128,4.143625694666471
129,4.1337185903622755
130,4.123259447135415
131,4.113135738555089
132,4.102525673859954
133,4.09250309988778
134,4.08232763808209
135,4.071811953285404
136,4.060906543754322
137,4.050586942424814
138,4.040186663101923
139,4.029541451880035
140,4.018956859022427
141,4.007600461244031
142,3.996826625599036
143,3.9859188517952084
144,3.9745182217658073
145,3.9627804033533813
146,3.9514740657098395
147,3.939829891115804
148,3.9279970407012748
149,3.9167330625791448
150,3.904864187869397
151,3.8926592383464356
152,3.8802626661583934
153,3.8675871048097896
154,3.854777413212006
155,3.842797323982039
156,3.830508523388319
157,3.8183258619217475
158,3.8052349830728565
159,3.7922582362436312
160,3.778572735555735
161,3.7662729712473526
162,3.7536850367592134
163,3.741486025465355
164,3.729773959264552
165,3.7183109798803367
166,3.7071863947478003
167,3.696436525468221
168,3.685284691515892
169,3.6736612208293824
170,3.6636916090125182
171,3.653909510024896
172,3.643827044088606
173,3.634252884470695
174,3.6250028844081523
175,3.615640617141332
176,3.606095450204626
177,3.595889603999276
178,3.5859341800139317
179,3.5768557682492625
180,3.567103544988005
181,3.5580142921605074
182,3.548684195879413
183,3.540206576023987
184,3.5307518116340297
185,3.522172070956972
186,3.5131881336660387
187,3.504001015718901
188,3.495344134823972
189,3.486231091051768
190,3.4769177061455268
191,3.4680491532816307
192,3.4592196740060497
193,3.4501233637519406
194,3.4411271777489394
195,3.4321780548759357
196,3.423634805571174
197,3.4153729996383406
198,3.4069802023800246
199,3.3983185893910433
200,3.3898849503608095
201,3.3812384659309345
202,3.373596844768672
203,3.3658640750965025
204,3.3569262314177273
205,3.348821859640434
206,3.339497122358898
207,3.3309201168295437
208,3.3227953716705407
209,3.3142099010492507
210,3.306368829008061
211,3.297824343145769
212,3.2886613781064398
213,3.280472616381157
214,3.2723829213907556
215,3.2640016515808266
216,3.255998368873885
217,3.2478722997822893
218,3.2404639968561515
219,3.232959274687472
220,3.224472092786101
221,3.2172653636268262
222,3.2098834853072975
223,3.2014886726927383
224,3.1940498537353306
225,3.186050681047643
226,3.1775943563689153
227,3.1704522967108435
228,3.1644329425687476
229,3.1560784405914264
230,3.1489504684593546
231,3.1401505993789325
232,3.1325810491207076
233,3.1248256736425835
234,3.117677151534601
235,3.111095204334178
236,3.1039144561089484
237,3.096936777082711
238,3.0907855919103957
239,3.0841429969655287
240,3.076832899605674
241,3.070004186866413
242,3.063557498299794
243,3.057054258981584
244,3.0506717172849434
245,3.0435682907183144
246,3.0365223388769325
247,3.030650663554594
248,3.025175209389245
249,3.0183012441042307
250,3.0127410133858046
251,3.0074338549582738
252,3.0016298321608175
253,2.997559053352398
254,2.9921868684866633
255,2.986475379488728
256,2.9809046319159296
257,2.975993515102384
258,2.971255713034588
259,2.9670366227889646
260,2.963190849651277
261,2.958831900776533
262,2.954877011681706
263,2.9517399829287734
264,2.948206306635553
265,2.944332449868435
266,2.940648283477511
267,2.9370590796631326
268,2.933602447101151
269,2.9307310181955213
270,2.9275293820256962
271,2.9242588713769964
272,2.921588582301731
273,2.9184236972265554
274,2.9152404756095596
275,2.9121614236675066
276,2.908997367971628
277,2.907510049749959
278,2.904737998440678
279,2.9018752870565137
280,2.8992782888502706
281,2.896228433751416
282,2.8939249172938215
283,2.8908963460023362
284,2.8891003337092678
285,2.886039273204489
286,2.8846226434454736
287,2.8822519913712825
288,2.8800453942686564
289,2.878638856441179
290,2.8765076660259736
291,2.875185135690918
292,2.8740877629152113
293,2.8720035928605028
294,2.8705385325338284
295,2.869220536123504
296,2.8680009419097887
297,2.8663962836791566
298,2.8650541322430416
299,2.8641069960217633
300,2.862459599619618
301,2.8615569621699835
302,2.8596176246546947
303,2.8581298402263604
304,2.8575629941282354
305,2.855988076671004
306,2.8548700213710587
307,2.854105347543097
308,2.8531047587414555
