episode,cumulative_reward,player
0,-3.5871960478663034,1
0,3.5871960478663034,2
1,-2.359646462732213,1
1,2.359646462732213,2
2,-1.794832429521141,1
2,1.794832429521141,2
3,-1.9652495613910632,1
3,1.9652495613910632,2
4,-2.833954030609032,1
4,2.833954030609032,2
5,-3.5352159132595866,1
5,3.5352159132595866,2
6,-3.366589115980865,1
6,3.366589115980865,2
7,-2.2442908635974863,1
7,2.2442908635974863,2
8,-2.3900867086687168,1
8,2.3900867086687168,2
9,-2.767448191084331,1
9,2.767448191084331,2
10,-3.2968897046690726,1
10,3.2968897046690726,2
11,-3.219408010005644,1
11,3.219408010005644,2
12,-2.5362960162756845,1
12,2.5362960162756845,2
13,-2.350561030103607,1
13,2.350561030103607,2
14,-2.3039467579858344,1
14,2.3039467579858344,2
15,-2.1292534367843157,1
15,2.1292534367843157,2
16,-2.3621468773410297,1
16,2.3621468773410297,2
17,-2.8896071944311186,1
17,2.8896071944311186,2
18,-3.404566328413351,1
18,3.404566328413351,2
19,-3.1332968345093226,1
19,3.1332968345093226,2
20,-2.78135902125169,1
20,2.78135902125169,2
21,-2.496381490411076,1
21,2.496381490411076,2
22,-2.6972836933494366,1
22,2.6972836933494366,2
23,-2.7220623339369046,1
23,2.7220623339369046,2
24,-2.781693018821595,1
24,2.781693018821595,2
25,-2.576427030227463,1
25,2.576427030227463,2
26,-2.897252048304453,1
26,2.897252048304453,2
27,-2.686528580348311,1
27,2.686528580348311,2
28,-2.3618960940446327,1
28,2.3618960940446327,2
29,-1.799377775310075,1
29,1.799377775310075,2
30,-1.814928236028733,1
30,1.814928236028733,2
31,-1.7901242509766846,1
31,1.7901242509766846,2
32,-1.5580271860671833,1
32,1.5580271860671833,2
33,-1.3681398180586846,1
33,1.3681398180586846,2
34,-1.243105813425317,1
34,1.243105813425317,2
35,-1.1109582750941411,1
35,1.1109582750941411,2
36,-0.984561972042596,1
36,0.984561972042596,2
37,-1.1012832135090078,1
37,1.1012832135090078,2
38,-0.9548578858247674,1
38,0.9548578858247674,2
39,-0.8659754849614112,1
39,0.8659754849614112,2
40,-0.9095552035353098,1
40,0.9095552035353098,2
41,-0.9787389473699486,1
41,0.9787389473699486,2
42,-1.183215211034968,1
42,1.183215211034968,2
43,-0.998038325169242,1
43,0.998038325169242,2
44,-1.0352127137142022,1
44,1.0352127137142022,2
45,-0.8163498330948182,1
45,0.8163498330948182,2
46,-0.6556131475024748,1
46,0.6556131475024748,2
47,-0.5979125746445283,1
47,0.5979125746445283,2
48,-0.42140010049332793,1
48,0.42140010049332793,2
49,-0.3867486184924538,1
49,0.3867486184924538,2
50,-0.31797368576722496,1
50,0.31797368576722496,2
51,-0.287682781890524,1
51,0.287682781890524,2
52,-0.13783669559544998,1
52,0.13783669559544998,2
53,-0.030584834678187556,1
53,0.030584834678187556,2
54,0.06277533887568161,1
54,-0.06277533887568161,2
55,0.1790965953080072,1
55,-0.1790965953080072,2
56,0.26427312744706005,1
56,-0.26427312744706005,2
57,0.358340498687128,1
57,-0.358340498687128,2
58,0.37635452597682006,1
58,-0.37635452597682006,2
59,0.33944045422763164,1
59,-0.33944045422763164,2
60,0.5110343163900263,1
60,-0.5110343163900263,2
61,0.6191681644604857,1
61,-0.6191681644604857,2
62,0.4733594786662115,1
62,-0.4733594786662115,2
63,0.5066740977436345,1
63,-0.5066740977436345,2
64,0.4103516519334848,1
64,-0.4103516519334848,2
65,0.518924415070698,1
65,-0.518924415070698,2
66,0.5675315157354185,1
66,-0.5675315157354185,2
67,0.6373529960014669,1
67,-0.6373529960014669,2
68,0.471841013366634,1
68,-0.471841013366634,2
69,0.3629670715600726,1
69,-0.3629670715600726,2
70,0.33589521394164534,1
70,-0.33589521394164534,2
71,0.3073609812057676,1
71,-0.3073609812057676,2
72,0.3936143436600046,1
72,-0.3936143436600046,2
73,0.46478434831049126,1
73,-0.46478434831049126,2
74,0.5528394902741177,1
74,-0.5528394902741177,2
75,0.6158620822908544,1
75,-0.6158620822908544,2
76,0.6207468857998028,1
76,-0.6207468857998028,2
77,0.569370715860994,1
77,-0.569370715860994,2
78,0.5379432624997044,1
78,-0.5379432624997044,2
79,0.5278283866852272,1
79,-0.5278283866852272,2
80,0.5772425108370048,1
80,-0.5772425108370048,2
81,0.5841206778900168,1
81,-0.5841206778900168,2
82,0.5052484151585379,1
82,-0.5052484151585379,2
83,0.4300583591161435,1
83,-0.4300583591161435,2
84,0.41938409222640904,1
84,-0.41938409222640904,2
85,0.4471769933816327,1
85,-0.4471769933816327,2
86,0.4426162750885507,1
86,-0.4426162750885507,2
87,0.5636386047372285,1
87,-0.5636386047372285,2
88,0.5155038697691806,1
88,-0.5155038697691806,2
89,0.5215000913258728,1
89,-0.5215000913258728,2
90,0.5065056088524947,1
90,-0.5065056088524947,2
91,0.4794601505696428,1
91,-0.4794601505696428,2
92,0.4168457566761445,1
92,-0.4168457566761445,2
93,0.48668293243772726,1
93,-0.48668293243772726,2
94,0.5379579754501997,1
94,-0.5379579754501997,2
95,0.5731316212713625,1
95,-0.5731316212713625,2
96,0.6157493765821848,1
96,-0.6157493765821848,2
97,0.5901632275059806,1
97,-0.5901632275059806,2
98,0.5626411475442725,1
98,-0.5626411475442725,2
99,0.49858820729466785,1
99,-0.49858820729466785,2
100,0.48578082243277426,1
100,-0.48578082243277426,2
101,0.3920415212992503,1
101,-0.3920415212992503,2
102,0.4209743379865825,1
102,-0.4209743379865825,2
103,0.6673275315488436,1
103,-0.6673275315488436,2
104,0.8608284747832545,1
104,-0.8608284747832545,2
105,0.9047312224779114,1
105,-0.9047312224779114,2
106,0.8298079647055085,1
106,-0.8298079647055085,2
107,0.7998837350156652,1
107,-0.7998837350156652,2
108,0.9251158158871989,1
108,-0.9251158158871989,2
109,1.1205167819945447,1
109,-1.1205167819945447,2
110,1.2275203826797831,1
110,-1.2275203826797831,2
111,1.229531986779304,1
111,-1.229531986779304,2
112,1.2339243172672192,1
112,-1.2339243172672192,2
113,1.2280847440524822,1
113,-1.2280847440524822,2
114,1.2399911217012454,1
114,-1.2399911217012454,2
115,1.2564792005163639,1
115,-1.2564792005163639,2
116,1.4137295376064947,1
116,-1.4137295376064947,2
117,1.5321786965422743,1
117,-1.5321786965422743,2
118,1.7209110478973313,1
118,-1.7209110478973313,2
119,1.862737065243729,1
119,-1.862737065243729,2
120,1.7935407287923644,1
120,-1.7935407287923644,2
121,1.819285962580259,1
121,-1.819285962580259,2
122,1.8659172702158733,1
122,-1.8659172702158733,2
123,1.7848184677467431,1
123,-1.7848184677467431,2
124,1.7951661192374844,1
124,-1.7951661192374844,2
125,1.7712071037388106,1
125,-1.7712071037388106,2
126,1.8690864748332934,1
126,-1.8690864748332934,2
127,2.019269635191856,1
127,-2.019269635191856,2
128,1.948726896118596,1
128,-1.948726896118596,2
129,1.817255643187179,1
129,-1.817255643187179,2
130,1.8856081036257222,1
130,-1.8856081036257222,2
131,1.8849228086684462,1
131,-1.8849228086684462,2
132,1.8577766012411019,1
132,-1.8577766012411019,2
133,1.8688099996268457,1
133,-1.8688099996268457,2
134,1.9189554695578912,1
134,-1.9189554695578912,2
135,2.1103930861289366,1
135,-2.1103930861289366,2
136,2.0690218995890506,1
136,-2.0690218995890506,2
137,2.199741023451392,1
137,-2.199741023451392,2
138,2.143669309107433,1
138,-2.143669309107433,2
139,2.071860418414321,1
139,-2.071860418414321,2
140,2.0823469455047,1
140,-2.0823469455047,2
141,2.101391043331497,1
141,-2.101391043331497,2
142,2.267738852651243,1
142,-2.267738852651243,2
143,2.2768542964237337,1
143,-2.2768542964237337,2
144,2.2470563836137334,1
144,-2.2470563836137334,2
145,2.1569408054053576,1
145,-2.1569408054053576,2
146,2.2580342523651398,1
146,-2.2580342523651398,2
147,2.292060839953186,1
147,-2.292060839953186,2
148,2.230741868732013,1
148,-2.230741868732013,2
149,2.2506441082742374,1
149,-2.2506441082742374,2
150,2.2228324893693996,1
150,-2.2228324893693996,2
151,2.265547578380234,1
151,-2.265547578380234,2
152,2.235727993798314,1
152,-2.235727993798314,2
153,2.324029397809498,1
153,-2.324029397809498,2
154,2.347595424112901,1
154,-2.347595424112901,2
155,2.3611107680102936,1
155,-2.3611107680102936,2
156,2.371371165135764,1
156,-2.371371165135764,2
157,2.4497163995660154,1
157,-2.4497163995660154,2
158,2.430153898695499,1
158,-2.430153898695499,2
159,2.2486157247632077,1
159,-2.2486157247632077,2
160,2.1366637221814444,1
160,-2.1366637221814444,2
161,2.1265385139465462,1
161,-2.1265385139465462,2
162,2.320394669882394,1
162,-2.320394669882394,2
163,2.4044400257063914,1
163,-2.4044400257063914,2
164,2.5096465062510576,1
164,-2.5096465062510576,2
165,2.441844599015418,1
165,-2.441844599015418,2
166,2.5009837762418416,1
166,-2.5009837762418416,2
167,2.491009884420605,1
167,-2.491009884420605,2
168,2.609020422745082,1
168,-2.609020422745082,2
169,2.7689584026003837,1
169,-2.7689584026003837,2
170,2.8117758213590514,1
170,-2.8117758213590514,2
171,2.902162851618568,1
171,-2.902162851618568,2
172,2.866738882929996,1
172,-2.866738882929996,2
173,2.8406056541565814,1
173,-2.8406056541565814,2
174,2.8111285305621374,1
174,-2.8111285305621374,2
175,2.802572916945118,1
175,-2.802572916945118,2
176,2.709628194221482,1
176,-2.709628194221482,2
177,2.8216038086454045,1
177,-2.8216038086454045,2
178,2.9148410187585148,1
178,-2.9148410187585148,2
179,2.8032511955149744,1
179,-2.8032511955149744,2
180,2.8222655099350478,1
180,-2.8222655099350478,2
181,2.862438578557231,1
181,-2.862438578557231,2
182,2.982879893945936,1
182,-2.982879893945936,2
183,2.938070794831398,1
183,-2.938070794831398,2
184,3.012374063760297,1
184,-3.012374063760297,2
185,2.9907195111206812,1
185,-2.9907195111206812,2
186,2.8566737302262926,1
186,-2.8566737302262926,2
187,2.7160473812229218,1
187,-2.7160473812229218,2
188,2.713269277819199,1
188,-2.713269277819199,2
189,2.7421472523800436,1
189,-2.7421472523800436,2
190,2.731576152345066,1
190,-2.731576152345066,2
191,2.771398447398609,1
191,-2.771398447398609,2
192,2.9687429742696536,1
192,-2.9687429742696536,2
193,2.9253236750946017,1
193,-2.9253236750946017,2
194,2.9505537609439223,1
194,-2.9505537609439223,2
195,2.9506884074040687,1
195,-2.9506884074040687,2
196,2.8954814672446734,1
196,-2.8954814672446734,2
197,2.9777237095181253,1
197,-2.9777237095181253,2
198,3.0060540809685,1
198,-3.0060540809685,2
199,3.131717237820834,1
199,-3.131717237820834,2
200,3.183949415078909,1
200,-3.183949415078909,2
201,3.3134559367581744,1
201,-3.3134559367581744,2
202,3.219796078991708,1
202,-3.219796078991708,2
203,2.9673615568826635,1
203,-2.9673615568826635,2
204,2.8911284597450106,1
204,-2.8911284597450106,2
205,2.883243014390879,1
205,-2.883243014390879,2
206,3.0372393135526266,1
206,-3.0372393135526266,2
207,3.137151176529477,1
207,-3.137151176529477,2
208,2.9398467625604017,1
208,-2.9398467625604017,2
209,2.7039247409797724,1
209,-2.7039247409797724,2
210,2.5972301471451487,1
210,-2.5972301471451487,2
211,2.5717435864179596,1
211,-2.5717435864179596,2
212,2.5633861472949526,1
212,-2.5633861472949526,2
213,2.624088374650202,1
213,-2.624088374650202,2
214,2.6065730748613576,1
214,-2.6065730748613576,2
215,2.635711790696332,1
215,-2.635711790696332,2
216,2.5779050105123584,1
216,-2.5779050105123584,2
217,2.602073368015057,1
217,-2.602073368015057,2
218,2.490787790520938,1
218,-2.490787790520938,2
219,2.379320570264044,1
219,-2.379320570264044,2
220,2.423278745865353,1
220,-2.423278745865353,2
221,2.3273771281257667,1
221,-2.3273771281257667,2
222,2.3463794614708133,1
222,-2.3463794614708133,2
223,2.4553168880613843,1
223,-2.4553168880613843,2
224,2.647708883120298,1
224,-2.647708883120298,2
225,2.682036710215526,1
225,-2.682036710215526,2
226,2.7358659446643974,1
226,-2.7358659446643974,2
227,2.603704316509915,1
227,-2.603704316509915,2
228,2.616592034236297,1
228,-2.616592034236297,2
229,2.5859757180154896,1
229,-2.5859757180154896,2
230,2.5551427633685777,1
230,-2.5551427633685777,2
231,2.586824241978075,1
231,-2.586824241978075,2
232,2.5818068885352283,1
232,-2.5818068885352283,2
233,2.424410100482687,1
233,-2.424410100482687,2
234,2.2442809855670505,1
234,-2.2442809855670505,2
235,1.8307258889092473,1
235,-1.8307258889092473,2
236,1.862423001857922,1
236,-1.862423001857922,2
237,1.7662761101705202,1
237,-1.7662761101705202,2
238,1.7390865833004043,1
238,-1.7390865833004043,2
239,1.6533685447935915,1
239,-1.6533685447935915,2
240,1.6776118598850636,1
240,-1.6776118598850636,2
241,1.704756434849682,1
241,-1.704756434849682,2
242,1.7819052723532642,1
242,-1.7819052723532642,2
243,1.8320998392682564,1
243,-1.8320998392682564,2
244,1.8869350190020395,1
244,-1.8869350190020395,2
245,1.8129794237959374,1
245,-1.8129794237959374,2
246,1.6621625070797628,1
246,-1.6621625070797628,2
247,1.6405668086190994,1
247,-1.6405668086190994,2
248,1.553905267753913,1
248,-1.553905267753913,2
249,1.4911116111733755,1
249,-1.4911116111733755,2
250,1.442757593594308,1
250,-1.442757593594308,2
251,1.4538393069844948,1
251,-1.4538393069844948,2
252,1.4287611613320563,1
252,-1.4287611613320563,2
253,1.3361212336552655,1
253,-1.3361212336552655,2
254,1.3123326895244136,1
254,-1.3123326895244136,2
255,1.2221457156357631,1
255,-1.2221457156357631,2
256,1.1734132511546143,1
256,-1.1734132511546143,2
257,1.0553184350208864,1
257,-1.0553184350208864,2
258,1.1991667302233535,1
258,-1.1991667302233535,2
259,1.4752329752509719,1
259,-1.4752329752509719,2
260,1.4695849627335695,1
260,-1.4695849627335695,2
261,1.3243652939014674,1
261,-1.3243652939014674,2
262,1.2200904270148143,1
262,-1.2200904270148143,2
263,1.0520387868106384,1
263,-1.0520387868106384,2
264,0.986336614421335,1
264,-0.986336614421335,2
265,0.9229386445211526,1
265,-0.9229386445211526,2
266,0.7941462447425947,1
266,-0.7941462447425947,2
267,0.7330690073518618,1
267,-0.7330690073518618,2
268,0.770869501106016,1
268,-0.770869501106016,2
269,0.8510607139310945,1
269,-0.8510607139310945,2
270,0.879023694711624,1
270,-0.879023694711624,2
271,0.823973927185754,1
271,-0.823973927185754,2
272,0.7817154437516958,1
272,-0.7817154437516958,2
273,0.8214768827497061,1
273,-0.8214768827497061,2
274,0.8246201253154678,1
274,-0.8246201253154678,2
275,0.777585376908902,1
275,-0.777585376908902,2
276,0.9116169285466847,1
