episode,cumulative_reward,player
0,-0.0659706981778719,1
1,-0.08807690420643857,1
2,-0.058717936137625715,1
3,-0.05498002936262037,1
4,-0.030095455452649578,1
5,-0.025079546210541315,1
6,-0.028424543216095857,1
7,-0.01911275044071488,1
8,-0.01698911150285767,1
9,-0.009634037617546613,1
10,-0.008758216015951465,1
11,-0.0045635318824785,1
12,-0.0042124909684416924,1
13,-0.003911598756410143,1
14,-0.0036508255059828003,1
15,-0.003422648911858876,1
16,-0.005795805389843902,1
17,-0.009138854989178791,1
18,-0.010736762300613482,1
19,-0.007896434236235211,1
20,-0.007520413558319249,1
21,-0.005084494806261468,1
22,-0.0021385531508162606,1
23,-0.0020494467695322516,1
24,0.0008102447087383824,1
25,-0.0015108629764257625,1
26,-0.0014549050884099936,1
27,-0.002966026658024077,1
28,-0.00021047486717106986,1
29,0.0014981032511880742,1
30,0.0024357014015795576,1
31,0.0023595857327801967,1
32,0.00439241162533939,1
33,0.005366874201391644,1
34,0.003512433364051043,1
35,0.001761017017673809,1
36,0.0035902554817159654,1
37,0.003495775074302387,1
38,0.0025812101017271827,1
39,0.0010282159715457706,1
40,0.001003137533215386,1
41,0.002325958719335327,1
42,0.0032387967394839037,1
43,0.003165187722677451,1
44,0.003094850217729063,1
45,0.00453719782576177,1
46,0.004440661701809392,1
47,0.00434814791635503,1
48,0.0031628072245367587,1
49,0.0017801371164885855,1
50,0.0027461514609418143,1
51,0.003898574764942516,1
52,0.0038250167505096385,1
53,0.003754183106981682,1
54,0.005084924782794981,1
55,0.0040345949476961376,1
56,0.004622130811966662,1
57,0.006542132372105262,1
58,0.006431248772578055,1
59,0.00466672367658355,1
60,0.0040058276777779145,1
61,0.003074547457446976,1
62,0.0036857132690069306,1
63,0.004347964608349821,1
64,0.0027512227376507124,1
65,0.0035665318984477155,1
66,0.003513300079067899,1
67,0.0034616339014345472,1
68,0.002455368219125758,1
69,0.0032283147781418603,1
70,0.0023442743572450824,1
71,0.002311714991172235,1
72,0.0010506664031993173,1
73,0.0010364682085614886,1
74,0.0010226486324473355,1
75,0.00030217238751065656,1
76,0.0007855745540509858,1
77,0.0013085542852262822,1
78,0.0012919903069322787,1
79,0.0012758404280956246,1
80,0.0012600893116993823,1
81,0.001806549185787828,1
82,0.004370792737078784,1
83,0.0030070557969349267,1
84,0.0021117054168194862,1
85,0.0030785180321391227,1
86,0.0024255058020830377,1
87,0.0023979432361502765,1
88,0.0023710000537216216,1
89,0.002720939337991739,1
