episode,loss,game
0,5.026862503603935,
1,4.955231208320104,
2,4.915316989782656,
3,4.854525723844461,
4,4.813262959731469,
5,4.789241691022885,
6,4.772125954872796,
7,4.7566725497297355,
8,4.744114759203935,
9,4.734692733253975,
10,4.726543019354976,
11,4.719645741070475,
12,4.713994854110239,
13,4.7090551634423266,
14,4.70475022856691,
15,4.700992155138438,
16,4.697666196979496,
17,4.6947134276689555,
18,4.692086253722763,
19,4.689717703529789,
20,4.68757851680476,
21,4.685645709512471,
22,4.683837398075491,
23,4.682290017182026,
24,4.6807887036646365,
25,4.6793886732599566,
26,4.6781147518759445,
27,4.676953541717774,
28,4.675840387576572,
29,4.674800458758889,
30,4.6738509424790475,
31,4.672937641768986,
32,4.672089571689825,
33,4.671289698385684,
34,4.670529486990677,
35,4.669819428499827,
36,4.669150095908568,
37,4.668525796825181,
38,4.667913444277572,
39,4.6673612874584745,
40,4.6668112887162545,
41,4.666286246301484,
42,4.665782164506968,
43,4.665307000056899,
44,4.664841459124632,
45,4.664408553455477,
46,4.663989938420635,
47,4.663596488919665,
48,4.66321770493168,
49,4.662844938021736,
50,4.662491130949739,
51,4.662158447355591,
52,4.661830338924887,
53,4.661514148715451,
54,4.661214224630414,
55,4.6609193063314,
56,4.660634899932642,
57,4.660364059642183,
58,4.6601080550608485,
59,4.659853346364181,
60,4.65959808966021,
61,4.659369986642343,
62,4.6591363713288985,
63,4.658915566757354,
64,4.658697887923957,
65,4.658488096233736,
66,4.658283422915716,
67,4.658085077656912,
68,4.657893371646964,
69,4.657699411756157,
70,4.657520192960339,
71,4.65734603370743,
72,4.657170357828471,
73,4.6570036542552025,
74,4.656837214207772,
75,4.656680234212147,
76,4.656524242443382,
77,4.656376274009944,
78,4.656229354475418,
79,4.656077380245482,
80,4.655938015632744,
81,4.65580157566161,
82,4.655670784303725,
83,4.655541318580384,
84,4.655412763872584,
85,4.655288902995451,
86,4.655167565307037,
87,4.655050666919788,
88,4.654934301646624,
89,4.654820553998583,
90,4.654709598668317,
91,4.654598838794932,
92,4.654493489220614,
93,4.654391339945944,
94,4.654293291108757,
95,4.654193106719316,
96,4.654095337852844,
97,4.654002799950329,
98,4.653911217785965,
99,4.653818663391367,
100,4.649995038363933,
101,4.6476065604419015,
102,4.645697517043049,
103,4.6454242478612136,
104,4.645388337262018,
105,4.645144318697043,
106,4.644897080214228,
107,4.644858726081022,
108,4.644870456624587,
109,4.64481809410174,
110,4.644814217104997,
111,4.644823436620473,
112,4.644808608277175,
113,4.644808011447384,
114,4.644810567635118,
115,4.644812395383536,
116,4.644815097053711,
117,4.6448170877032,
118,4.6448181908866655,
119,4.644816686504451,
120,4.644817187571625,
121,4.644812733636616,
122,4.644824339997822,
123,4.644806441128197,
124,4.644806277795338,
125,4.644806750987242,
126,4.644806719950227,
127,4.6448009163258,
128,4.644801040209344,
129,4.644799140750053,
130,4.644791996734131,
131,4.644792443215156,
132,4.644788976571642,
133,4.644790151492955,
134,4.644791278054146,
135,4.644789638211875,
136,4.6447797894035165,
137,4.644771895985208,
138,4.644771143021674,
139,4.644759570841358,
140,4.644758391997743,
141,4.644758155678183,
142,4.644757946233415,
143,4.644754294815646,
144,4.644760342970693,
145,4.644756974804696,
146,4.644756884442993,
147,4.644752853432713,
148,4.644750905886344,
149,4.644753320553779,
150,4.644751166413988,
151,4.644747129460383,
152,4.64474405071065,
153,4.644745102532598,
154,4.644738369308875,
155,4.6447386111540325,
156,4.644737115806983,
157,4.6447363569327065,
158,4.644730942141881,
159,4.644729042672134,
160,4.64473419943884,
161,4.644726554664363,
162,4.644728854370435,
163,4.644724994653988,
164,4.644728698075821,
165,4.644724421241442,
166,4.644724696916046,
167,4.644723235978571,
168,4.644723513396066,
169,4.6447298306853595,
170,4.644727655533311,
171,4.644723879323819,
172,4.644727208109973,
173,4.644724441490495,
174,4.644726746722321,
175,4.6447261263203306,
176,4.644726788214384,
177,4.644723230226965,
178,4.644720803453695,
179,4.644726115003802,
180,4.644724837887686,
181,4.644723970195446,
182,4.644719422322409,
183,4.6447172653690725,
184,4.644717957032268,
185,4.644718425475051,
186,4.64472025844152,
187,4.644717640163321,
188,4.644719821212465,
189,4.644718982892033,
190,4.644722074347544,
191,4.644725504452574,
192,4.644724656252491,
193,4.644720740841081,
194,4.64471479606394,
195,4.644714129583725,
196,4.644712756778127,
197,4.644711816359834,
198,4.644708297818491,
199,4.644710620951219,
200,4.644711717641161,
201,4.6447135656512435,
202,4.644715555179276,
203,4.644712056051888,
204,4.644710092316533,
