iteration,loss__0_15,loss__15_30,loss__30_45,loss__45_60,loss__60_,accuracy__0_15,accuracy__15_30,accuracy__30_45,accuracy__45_60,accuracy__60_
1,0.999767231824679,0.9732944281777439,0.9431754214432165,0.8929357484015851,1.0183253062179334,0.5527449669415349,0.5400242676373722,0.5478939157566303,0.6461636887081296,0.4405940594059406
2,0.9440032532092111,0.8907179905915853,0.8285403742750734,0.752813183505257,0.8153471331587054,0.5398558799494837,0.5206794938464205,0.5328133125325013,0.6496367042910022,0.5338283828382838
3,0.9508175050466159,0.9141572677034501,0.8347317295621058,0.77040662360776,0.9257604077036173,0.526929648614516,0.5166233315999307,0.5310105737562836,0.6626148151533153,0.5874587458745875
4,0.9728382145802441,0.9181129541951869,0.8597487521880162,0.8049808033493339,0.9274407110031798,0.5033058465195751,0.5061535794765124,0.5137112151152713,0.6576794772197596,0.570957095709571
5,0.9510189167129619,0.8873290459018727,0.8323580806238178,0.777655346737764,0.8379908369154226,0.5400416016640666,0.5303172126885075,0.5357947651239383,0.6645798108120459,0.608085808580858
6,0.942557609859686,0.8845431348527613,0.8022628248654174,0.7726920553520685,0.7710254120057773,0.5195007800312013,0.4992546368521408,0.5240076269717455,0.6409084677603619,0.5957095709570958
7,0.9198738843064066,0.8738402997827455,0.8165193861263748,0.7798099952375235,0.7722509211883817,0.5172349751132902,0.5092737042815046,0.5172473565609291,0.6535666956084631,0.6212871287128713
8,0.918075920066696,0.8519618921545621,0.7667960575227608,0.738984001394154,0.7366072064379933,0.5443132010994726,0.5555208875021668,0.5516727335760097,0.6653109719873874,0.6427392739273927
9,0.925720949316711,0.8536357998551953,0.7787702852779202,0.7096172317493693,0.7412023081958751,0.5543050293440309,0.5657479632518634,0.5394695787831513,0.6698350317598135,0.6278877887788779
10,0.9252363211962242,0.8350255689128535,0.7511174540077242,0.7150896297831102,0.8406859722863235,0.5072060025258153,0.5374934997399896,0.5260530421216849,0.6682813142622127,0.655940594059406
11,0.9048062464068205,0.8090386029346592,0.7244967192483407,0.6855063691745594,0.7436460571274713,0.5512220488819553,0.5578436470792165,0.5459525047668573,0.6782890828497007,0.6196369636963697
12,0.9312224378558832,0.8162888456562446,0.7500322602438648,0.711790502949609,0.8250653563987652,0.5017829284599955,0.5197087883515341,0.4990466285318079,0.6498194945848376,0.6237623762376238
13,0.9097473193650447,0.8314651375653913,0.7670636961461669,0.6950090874429217,0.7489413037120615,0.5423074065819775,0.5294851794071763,0.5181487259490379,0.6552575058264406,0.6113861386138614
14,0.8994232527937421,0.8219994333598519,0.774797599341357,0.7069081106537061,0.8871438302648447,0.5448332219003046,0.5259490379615185,0.5394695787831513,0.6640314399305397,0.6336633663366337
15,0.9469890878372784,0.8542651261990529,0.7793869529407947,0.7156783294160363,0.9080293537159214,0.5361043013149097,0.5166233315999307,0.5305598890622292,0.6640771375039985,0.6377887788778878
16,0.9160220053379022,0.8547227033229371,0.7780350421770771,0.7280742623911168,0.8607230499993224,0.5382586732040711,0.5302825446351187,0.5252210088403536,0.6665905040442353,0.6188118811881188
17,0.9373877483039995,0.8281156023268621,0.7818444943083592,0.7270202142962784,0.802226617714254,0.5180521506574549,0.5061882475299012,0.5024440977639105,0.6780605949824065,0.6262376237623762
18,0.9079202594776606,0.814791396212542,0.7776081001836304,0.704669329613603,0.7326297638375715,0.5586880618081866,0.5524354307505633,0.5257410296411856,0.649088333409496,0.6237623762376238
19,0.9293686505350437,0.8840687359062342,0.7460081692791782,0.6998793134770512,0.8033309182823375,0.5157120570537107,0.5225515687294159,0.5113884555382215,0.648174381940319,0.6212871287128713
20,0.9368959881784127,0.845745195426565,0.7543535163741019,0.7318990326095931,0.9588015752202027,0.5111061585320555,0.5060842433697348,0.5206794938464205,0.653932276196134,0.6336633663366337
21,0.908660839816348,0.8171285359922534,0.7422129300985528,0.6969733714307264,0.9654858822749457,0.54401604635614,0.5346507193621078,0.5300052002080083,0.6619750491248915,0.6204620462046204
22,0.9140469670343516,0.8532903175292017,0.7598715002252137,0.7067429902364648,0.7868379362910387,0.5527821112844514,0.5572196221182181,0.5506673600277344,0.6432390440067632,0.6031353135313532
23,0.9040047783139964,0.8140927029766046,0.757005789783267,0.7116838371483885,0.8636367252075955,0.5232895030086918,0.5490726295718495,0.5408563009187034,0.666956084631906,0.6295379537953796
